STT,Brand,Folder,Category,Keywords,Theme,Primary_Color,Accent_Color,Background,Text_Color,Heading_Font,Body_Font,Mono_Font,Border_Radius,Shadow_Style,Design_Philosophy,Best_For,Agent_Quick_Prompt
1,Stripe,stripe,infrastructure-cloud,"fintech, payment, api, purple, elegant, premium, light, weight-300, blue-tinted-shadows, negative-tracking",light,#533AFD,#EA2261,#FFFFFF,#061B31,sohne-var (weight 300),sohne-var (weight 300),SourceCodePro,"4-8px conservative","Blue-tinted multi-layer: rgba(50,50,93,0.25)","Light weight 300 as luxury. Blue-tinted shadows. Deep navy headings not black. Conservative radius.","Fintech, payment platforms, API docs, premium SaaS","Use sohne-var weight 300, #533afd purple CTA, deep navy #061b31 headings, blue-tinted shadows rgba(50,50,93,0.25), 4px radius buttons"
2,Vercel,vercel,developer-tools,"deployment, frontend, black-white, minimal, geist, shadow-as-border, compressed-type, monochrome",light,#171717,#0072F5,#FFFFFF,#171717,Geist (weight 600),Geist (weight 400),Geist Mono,"6-8px standard, 9999px pills","Shadow-as-border: 0px 0px 0px 1px rgba(0,0,0,0.08)","Compression as identity. Shadow-as-border technique. Near-pure monochrome. Gallery emptiness.","Frontend deployment, developer platforms, documentation","Use Geist font, letter-spacing -2.4px at 48px, shadow-as-border rgba(0,0,0,0.08) 0px 0px 0px 1px, #171717 text, 6px radius"
3,Linear,linear.app,developer-tools,"project-management, dark-mode, indigo, inter-variable, precision, cv01-ss03, weight-510, luminance-stacking",dark,#5E6AD2,#7170FF,#08090A,#F7F8F8,Inter Variable (weight 510),Inter Variable (weight 400),Berkeley Mono,"6-8px standard, 9999px pills","Multi-layer dark: rgba(0,0,0,0.2) 0px 0px 0px 1px","Dark-mode-native. Semi-transparent white borders. Weight 510 signature. Luminance stacking for depth.","Issue trackers, project management, developer tools, dark-mode products","Use Inter Variable with cv01 ss03, weight 510, #08090a bg, #5e6ad2 brand, rgba(255,255,255,0.08) borders, 6px radius"
4,Supabase,supabase,developer-tools,"database, firebase, dark-mode, emerald-green, postgresql, pill-buttons, HSL-tokens, terminal",dark,#3ECF8E,#00C573,#171717,#FAFAFA,Circular (weight 400),Circular (weight 400),Source Code Pro,"6px secondary, 9999px primary","Almost no shadows — depth through border contrast","Dark-mode-native. Emerald green sparingly. Zero-leading hero type. Depth via border hierarchy.","Database platforms, open-source tools, developer-centric dark UIs","Use Circular font, #171717 bg, #3ecf8e green accent sparingly, pill buttons 9999px, borders #2e2e2e, no shadows"
5,Notion,notion,design-productivity,"workspace, warm-minimalism, serif-headings, soft-surfaces, friendly, content-first, block-editor",light,#2383E2,#2383E2,#FFFFFF,#37352F,Lyon Display (serif),Inter (weight 400),SFMono-Regular,"3-6px subtle","Subtle: rgba(15,15,15,0.1) 0px 0px 0px 1px","Warm minimalism. Serif headings for personality. Content-first. Tools should be invisible.","Productivity tools, content platforms, documentation, knowledge bases","Use Lyon Display serif for headings, Inter for body, #37352f text (not black), warm white bg, subtle borders, 3px radius"
6,Claude,claude,ai-ml,"anthropic, ai-assistant, terracotta, editorial, warm, weight-480, clean, light-tan-bg",light,#DA7756,#DA7756,#F8F4EF,#1A1815,Styrene A (weight 480),Relative (weight 400),Relative Mono,"8-12px comfortable","Subtle warm: 0px 1px 3px rgba(0,0,0,0.1)","Warm terracotta editorial. Anti-tech-cold. Typographic warmth over decoration.","AI products, conversational UIs, editorial platforms, warm-toned apps","Use Styrene A weight 480 headings, Relative body, terracotta #DA7756 accent, warm bg #F8F4EF, 8px radius"
7,Cursor,cursor,developer-tools,"code-editor, dark, gradient, purple-blue, sleek, ide-like, developer",dark,#7C5CFC,#00E5FF,#0A0A0A,#EDEDED,Inter (weight 600),Inter (weight 400),Berkeley Mono,"8-12px comfortable","Multi-layer dark with gradient accents","Sleek dark IDE aesthetic. Gradient purple-blue accents. Code-first atmosphere.","Code editors, developer tools, IDE-like interfaces, dark developer platforms","Use Inter font, #0a0a0a bg, purple-blue gradient accents #7C5CFC to #00E5FF, 8px radius"
8,Figma,figma,design-productivity,"design-tool, multi-color, vibrant, playful, professional, collaborative, colorful",light,#0D99FF,#A259FF,#FFFFFF,#333333,"Figma custom Sans (weight 700)",Inter (weight 400),—,"8px standard","Standard: 0px 2px 4px rgba(0,0,0,0.1)","Multi-color vibrant but professional. Playful yet precise. Collaborative energy.","Design tools, creative platforms, collaborative software","Use vibrant multi-color palette, #0D99FF blue primary, #A259FF purple, 8px radius, white bg"
9,Apple,apple,enterprise-consumer,"consumer, premium, white-space, cinematic, sf-pro, editorial, imagery-driven, elegant",light,#0071E3,#0071E3,#FFFFFF,#1D1D1F,SF Pro Display (weight 600),SF Pro Text (weight 400),SF Mono,"12-18px generous","Subtle: 0px 4px 16px rgba(0,0,0,0.12)","Premium white space. Cinematic imagery. Products as heroes. Typography-as-hero.","Consumer electronics, luxury products, premium brand sites, marketing pages","Use SF Pro Display, massive white space, #0071E3 blue links, 12px radius, cinematic imagery focus"
10,Airbnb,airbnb,enterprise-consumer,"travel, marketplace, coral, photography, rounded-ui, warm, friendly, cereal-font",light,#FF5A5F,#008489,#FFFFFF,#222222,Cereal (weight 800),Cereal (weight 400),—,"12-16px rounded","Standard: 0px 2px 8px rgba(0,0,0,0.12)","Warm coral accent. Photography-driven. Rounded everything. Hospitality warmth.","Travel, marketplace, hospitality, photography-driven platforms","Use Cereal font, #FF5A5F coral accent, rounded 12px radius, photography-driven, warm white bg"
